model,id,ground_truth,original_greedy,original_uq_correct,original_uq,original_correct,original_consistency,perturbation_type,greedy_consistency,uq_consistency_rate,greedy_accuracy,uq_accuracy,mean_uq_score,flip_rate
BioMistral-7B,20,C,E,False,A,False,0.55,truncate,1.0,0.0,0.0,0.0,0.53,0.0
BioMistral-7B,20,C,E,False,A,False,0.55,paraphrase,1.0,0.0,0.0,0.0,0.6,0.0
BioMistral-7B,21,A,A,True,A,True,0.4,typo,1.0,1.0,1.0,1.0,0.7,0.0
BioMistral-7B,21,A,A,True,A,True,0.4,synonym,1.0,1.0,1.0,1.0,0.61,0.0
BioMistral-7B,21,A,A,True,A,True,0.4,shuffle,0.4,0.2,0.4,0.2,0.48,0.6
BioMistral-7B,21,A,A,True,A,True,0.4,truncate,1.0,1.0,1.0,1.0,0.49,0.0
BioMistral-7B,21,A,A,True,A,True,0.4,paraphrase,1.0,0.8,1.0,0.8,0.53,0.0
BioMistral-7B,22,D,B,False,B,False,0.7,typo,1.0,1.0,0.0,0.0,0.53,0.0
BioMistral-7B,22,D,B,False,B,False,0.7,synonym,1.0,1.0,0.0,0.0,0.43,0.0
BioMistral-7B,22,D,B,False,B,False,0.7,shuffle,0.4,0.2,0.2,0.2,0.39,0.6
BioMistral-7B,22,D,B,False,B,False,0.7,truncate,1.0,0.6,0.0,0.2,0.39,0.0
BioMistral-7B,22,D,B,False,B,False,0.7,paraphrase,1.0,0.8,0.0,0.0,0.48,0.0
BioMistral-7B,23,E,E,False,D,True,0.35,typo,0.6,0.6,0.6,0.4,0.42,0.4
BioMistral-7B,23,E,E,False,D,True,0.35,synonym,0.8,0.6,0.8,0.4,0.44,0.1999999999999999
BioMistral-7B,23,E,E,False,D,True,0.35,shuffle,0.2,0.2,0.2,0.2,0.4600000000000001,0.8
BioMistral-7B,23,E,E,False,D,True,0.35,truncate,0.0,0.0,0.0,0.0,0.57,1.0
BioMistral-7B,23,E,E,False,D,True,0.35,paraphrase,0.8,0.2,0.8,0.8,0.44,0.1999999999999999
BioMistral-7B,24,A,A,True,A,True,0.9,typo,1.0,1.0,1.0,1.0,0.8400000000000001,0.0
BioMistral-7B,24,A,A,True,A,True,0.9,synonym,1.0,1.0,1.0,1.0,0.9,0.0
BioMistral-7B,24,A,A,True,A,True,0.9,shuffle,0.0,0.0,0.0,0.0,0.48,1.0
BioMistral-7B,24,A,A,True,A,True,0.9,truncate,1.0,1.0,1.0,1.0,0.71,0.0
BioMistral-7B,24,A,A,True,A,True,0.9,paraphrase,1.0,1.0,1.0,1.0,0.93,0.0
BioMistral-7B,25,E,E,True,E,True,0.95,typo,1.0,1.0,1.0,1.0,0.98,0.0
BioMistral-7B,25,E,E,True,E,True,0.95,synonym,1.0,1.0,1.0,1.0,0.98,0.0
BioMistral-7B,25,E,E,True,E,True,0.95,shuffle,1.0,1.0,1.0,1.0,0.94,0.0
BioMistral-7B,25,E,E,True,E,True,0.95,truncate,1.0,1.0,1.0,1.0,0.91,0.0
BioMistral-7B,25,E,E,True,E,True,0.95,paraphrase,1.0,1.0,1.0,1.0,0.96,0.0
BioMistral-7B,26,E,E,True,E,True,0.65,typo,1.0,1.0,1.0,1.0,0.85,0.0
BioMistral-7B,26,E,E,True,E,True,0.65,synonym,1.0,1.0,1.0,1.0,0.89,0.0
BioMistral-7B,26,E,E,True,E,True,0.65,shuffle,1.0,1.0,1.0,1.0,0.63,0.0
BioMistral-7B,26,E,E,True,E,True,0.65,truncate,1.0,1.0,1.0,1.0,0.93,0.0
BioMistral-7B,26,E,E,True,E,True,0.65,paraphrase,1.0,1.0,1.0,1.0,0.8699999999999999,0.0
BioMistral-7B,27,A,A,True,A,True,0.9,typo,1.0,1.0,1.0,1.0,0.97,0.0
BioMistral-7B,27,A,A,True,A,True,0.9,synonym,1.0,1.0,1.0,1.0,0.9,0.0
BioMistral-7B,27,A,A,True,A,True,0.9,shuffle,1.0,1.0,1.0,1.0,0.89,0.0
BioMistral-7B,27,A,A,True,A,True,0.9,truncate,1.0,1.0,1.0,1.0,0.91,0.0
BioMistral-7B,27,A,A,True,A,True,0.9,paraphrase,1.0,1.0,1.0,1.0,0.9200000000000002,0.0
BioMistral-7B,28,D,B,False,B,False,0.35,typo,0.4,0.6,0.0,0.0,0.5700000000000001,0.6
BioMistral-7B,28,D,B,False,B,False,0.35,synonym,1.0,0.8,0.0,0.2,0.47,0.0
BioMistral-7B,28,D,B,False,B,False,0.35,shuffle,0.0,0.0,0.4,0.2,0.49,1.0
BioMistral-7B,28,D,B,False,B,False,0.35,truncate,0.0,0.8,0.0,0.2,0.42,1.0
BioMistral-7B,28,D,B,False,B,False,0.35,paraphrase,1.0,0.8,0.0,0.0,0.45,0.0
BioMistral-7B,29,D,A,False,A,False,0.85,typo,1.0,1.0,0.0,0.0,0.7699999999999999,0.0
BioMistral-7B,29,D,A,False,A,False,0.85,synonym,1.0,1.0,0.0,0.0,0.78,0.0
BioMistral-7B,29,D,A,False,A,False,0.85,shuffle,0.4,0.4,0.0,0.0,0.43,0.6
BioMistral-7B,29,D,A,False,A,False,0.85,truncate,0.0,0.0,0.0,0.0,0.6199999999999999,1.0
BioMistral-7B,29,D,A,False,A,False,0.85,paraphrase,1.0,1.0,0.0,0.0,0.7899999999999999,0.0
BioMistral-7B,30,E,E,True,E,True,0.75,typo,0.4,0.4,0.4,0.4,0.75,0.6
BioMistral-7B,30,E,E,True,E,True,0.75,synonym,1.0,1.0,1.0,1.0,0.7699999999999999,0.0
BioMistral-7B,30,E,E,True,E,True,0.75,shuffle,1.0,1.0,1.0,1.0,0.94,0.0
BioMistral-7B,30,E,E,True,E,True,0.75,truncate,1.0,1.0,1.0,1.0,0.85,0.0
BioMistral-7B,30,E,E,True,E,True,0.75,paraphrase,1.0,1.0,1.0,1.0,0.6299999999999999,0.0
BioMistral-7B,31,C,C,True,C,True,0.65,typo,1.0,0.8,1.0,0.8,0.6500000000000001,0.0
BioMistral-7B,31,C,C,True,C,True,0.65,synonym,1.0,1.0,1.0,1.0,0.64,0.0
BioMistral-7B,31,C,C,True,C,True,0.65,shuffle,0.6,0.6,0.6,0.6,0.41,0.4
BioMistral-7B,31,C,C,True,C,True,0.65,truncate,1.0,1.0,1.0,1.0,0.76,0.0
BioMistral-7B,31,C,C,True,C,True,0.65,paraphrase,1.0,1.0,1.0,1.0,0.68,0.0
BioMistral-7B,32,E,A,False,A,False,0.5,typo,0.8,0.8,0.0,0.0,0.52,0.1999999999999999
BioMistral-7B,32,E,A,False,A,False,0.5,synonym,1.0,1.0,0.0,0.0,0.52,0.0
BioMistral-7B,32,E,A,False,A,False,0.5,shuffle,0.0,0.0,0.0,0.2,0.37,1.0
BioMistral-7B,32,E,A,False,A,False,0.5,truncate,0.0,0.0,0.0,0.2,0.39,1.0
BioMistral-7B,32,E,A,False,A,False,0.5,paraphrase,0.8,0.8,0.0,0.2,0.43,0.1999999999999999
BioMistral-7B,33,B,E,False,E,False,0.9,typo,1.0,1.0,0.0,0.0,0.74,0.0
BioMistral-7B,33,B,E,False,E,False,0.9,synonym,1.0,1.0,0.0,0.0,0.9,0.0
BioMistral-7B,33,B,E,False,E,False,0.9,shuffle,1.0,1.0,0.0,0.0,0.72,0.0
BioMistral-7B,33,B,E,False,E,False,0.9,truncate,1.0,1.0,0.0,0.0,0.76,0.0
BioMistral-7B,33,B,E,False,E,False,0.9,paraphrase,1.0,1.0,0.0,0.0,0.8400000000000001,0.0
BioMistral-7B,34,B,E,False,E,False,0.85,typo,1.0,1.0,0.0,0.0,0.6,0.0
BioMistral-7B,34,B,E,False,E,False,0.85,synonym,1.0,0.8,0.0,0.2,0.54,0.0
BioMistral-7B,34,B,E,False,E,False,0.85,shuffle,1.0,1.0,0.0,0.0,0.7300000000000001,0.0
BioMistral-7B,34,B,E,False,E,False,0.85,truncate,1.0,0.8,0.0,0.2,0.49,0.0
BioMistral-7B,34,B,E,False,E,False,0.85,paraphrase,1.0,1.0,0.0,0.0,0.53,0.0
BioMistral-7B,35,A,C,False,C,False,0.75,typo,0.6,0.6,0.4,0.4,0.67,0.4
BioMistral-7B,35,A,C,False,C,False,0.75,synonym,1.0,1.0,0.0,0.0,0.7,0.0
BioMistral-7B,35,A,C,False,C,False,0.75,shuffle,1.0,1.0,0.0,0.0,0.94,0.0
BioMistral-7B,35,A,C,False,C,False,0.75,truncate,1.0,1.0,0.0,0.0,0.7299999999999999,0.0
BioMistral-7B,35,A,C,False,C,False,0.75,paraphrase,0.8,0.4,0.2,0.6,0.6199999999999999,0.1999999999999999
BioMistral-7B,36,E,D,True,E,False,0.55,typo,0.6,0.4,0.4,0.4,0.82,0.4
BioMistral-7B,36,E,D,True,E,False,0.55,synonym,0.4,0.8,0.6,0.8,0.57,0.6
BioMistral-7B,36,E,D,True,E,False,0.55,shuffle,1.0,0.0,0.0,0.0,0.7968,0.0
BioMistral-7B,36,E,D,True,E,False,0.55,truncate,0.0,1.0,1.0,1.0,0.53,1.0
BioMistral-7B,36,E,D,True,E,False,0.55,paraphrase,0.0,0.6,1.0,0.6,0.58,1.0
BioMistral-7B,37,A,E,False,E,False,0.8,typo,1.0,1.0,0.0,0.0,0.8299999999999998,0.0
BioMistral-7B,37,A,E,False,E,False,0.8,synonym,1.0,1.0,0.0,0.0,0.85,0.0
BioMistral-7B,37,A,E,False,E,False,0.8,shuffle,1.0,1.0,0.0,0.0,0.6700000000000002,0.0
BioMistral-7B,37,A,E,False,E,False,0.8,truncate,1.0,1.0,0.0,0.0,0.8,0.0
BioMistral-7B,37,A,E,False,E,False,0.8,paraphrase,1.0,1.0,0.0,0.0,0.89,0.0
BioMistral-7B,38,E,B,False,B,False,0.6,typo,0.8,0.6,0.0,0.0,0.45,0.1999999999999999
BioMistral-7B,38,E,B,False,B,False,0.6,synonym,1.0,0.8,0.0,0.0,0.3999999999999999,0.0
BioMistral-7B,38,E,B,False,B,False,0.6,shuffle,1.0,1.0,0.0,0.0,0.42,0.0
BioMistral-7B,38,E,B,False,B,False,0.6,truncate,0.0,0.0,0.0,0.0,0.4399999999999999,1.0
BioMistral-7B,38,E,B,False,B,False,0.6,paraphrase,1.0,0.8,0.0,0.0,0.4599999999999999,0.0
BioMistral-7B,39,A,E,False,E,False,0.85,typo,1.0,1.0,0.0,0.0,0.64,0.0
BioMistral-7B,39,A,E,False,E,False,0.85,synonym,1.0,1.0,0.0,0.0,0.71,0.0
BioMistral-7B,39,A,E,False,E,False,0.85,shuffle,1.0,1.0,0.0,0.0,0.54,0.0
BioMistral-7B,39,A,E,False,E,False,0.85,truncate,1.0,1.0,0.0,0.0,0.8,0.0
BioMistral-7B,39,A,E,False,E,False,0.85,paraphrase,1.0,1.0,0.0,0.0,0.62,0.0
BioMistral-7B,40,D,D,True,D,True,1.0,typo,1.0,1.0,1.0,1.0,0.97,0.0
BioMistral-7B,40,D,D,True,D,True,1.0,synonym,1.0,1.0,1.0,1.0,0.98,0.0
BioMistral-7B,40,D,D,True,D,True,1.0,shuffle,1.0,1.0,1.0,1.0,0.95,0.0
BioMistral-7B,40,D,D,True,D,True,1.0,truncate,1.0,1.0,1.0,1.0,0.99,0.0
BioMistral-7B,40,D,D,True,D,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
BioMistral-7B,41,C,D,False,D,False,0.55,typo,0.8,1.0,0.2,0.0,0.6768000000000001,0.1999999999999999
BioMistral-7B,41,C,D,False,D,False,0.55,synonym,1.0,0.8,0.0,0.2,0.6799999999999999,0.0
BioMistral-7B,41,C,D,False,D,False,0.55,shuffle,1.0,0.6,0.0,0.4,0.6300000000000001,0.0
BioMistral-7B,41,C,D,False,D,False,0.55,truncate,1.0,1.0,0.0,0.0,0.8500000000000002,0.0
BioMistral-7B,41,C,D,False,D,False,0.55,paraphrase,1.0,1.0,0.0,0.0,0.6599999999999999,0.0
BioMistral-7B,42,A,C,False,C,False,0.8,typo,1.0,1.0,0.0,0.0,0.72,0.0
BioMistral-7B,42,A,C,False,C,False,0.8,synonym,1.0,1.0,0.0,0.0,0.74,0.0
BioMistral-7B,42,A,C,False,C,False,0.8,shuffle,1.0,1.0,0.0,0.0,0.73,0.0
BioMistral-7B,42,A,C,False,C,False,0.8,truncate,1.0,1.0,0.0,0.0,0.8699999999999999,0.0
BioMistral-7B,42,A,C,False,C,False,0.8,paraphrase,1.0,1.0,0.0,0.0,0.72,0.0
BioMistral-7B,43,C,A,False,B,False,0.3,typo,0.8,0.2,0.0,0.2,0.4,0.1999999999999999
BioMistral-7B,43,C,A,False,B,False,0.3,synonym,1.0,0.0,0.0,0.2,0.38,0.0
BioMistral-7B,43,C,A,False,B,False,0.3,shuffle,1.0,0.0,0.0,0.4,0.42,0.0
BioMistral-7B,43,C,A,False,B,False,0.3,truncate,1.0,0.0,0.0,0.2,0.32,0.0
BioMistral-7B,43,C,A,False,B,False,0.3,paraphrase,1.0,0.2,0.0,0.2,0.35,0.0
BioMistral-7B,44,B,C,False,C,False,0.8,typo,0.8,0.8,0.0,0.0,0.61,0.1999999999999999
BioMistral-7B,44,B,C,False,C,False,0.8,synonym,1.0,1.0,0.0,0.0,0.7799999999999999,0.0
BioMistral-7B,44,B,C,False,C,False,0.8,shuffle,0.8,0.8,0.0,0.0,0.62,0.1999999999999999
BioMistral-7B,44,B,C,False,C,False,0.8,truncate,1.0,1.0,0.0,0.0,0.76,0.0
BioMistral-7B,44,B,C,False,C,False,0.8,paraphrase,1.0,1.0,0.0,0.0,0.8200000000000001,0.0
BioMistral-7B,45,E,E,True,E,True,0.55,typo,1.0,0.8,1.0,0.8,0.7158,0.0
BioMistral-7B,45,E,E,True,E,True,0.55,synonym,1.0,0.6,1.0,0.6,0.4772,0.0
BioMistral-7B,45,E,E,True,E,True,0.55,shuffle,0.2,0.2,0.2,0.2,0.7848,0.8
BioMistral-7B,45,E,E,True,E,True,0.55,truncate,1.0,1.0,1.0,1.0,0.6338,0.0
BioMistral-7B,45,E,E,True,E,True,0.55,paraphrase,1.0,0.8,1.0,0.8,0.483,0.0
BioMistral-7B,46,C,B,False,B,False,0.667,typo,1.0,1.0,0.0,0.0,0.5533999999999999,0.0
BioMistral-7B,46,C,B,False,B,False,0.667,synonym,1.0,1.0,0.0,0.0,0.5912,0.0
BioMistral-7B,46,C,B,False,B,False,0.667,shuffle,1.0,0.6,0.0,0.2,0.5306,0.0
BioMistral-7B,46,C,B,False,B,False,0.667,truncate,0.0,0.2,1.0,0.8,0.39,1.0
BioMistral-7B,46,C,B,False,B,False,0.667,paraphrase,1.0,1.0,0.0,0.0,0.5448000000000001,0.0
BioMistral-7B,47,A,A,True,A,True,0.5,typo,0.6,0.6,0.6,0.6,0.61,0.4
BioMistral-7B,47,A,A,True,A,True,0.5,synonym,1.0,0.6,1.0,0.6,0.4,0.0
BioMistral-7B,47,A,A,True,A,True,0.5,shuffle,0.6,0.8,0.6,0.8,0.4542,0.4
BioMistral-7B,47,A,A,True,A,True,0.5,truncate,0.0,0.0,0.0,0.0,0.4599999999999999,1.0
BioMistral-7B,47,A,A,True,A,True,0.5,paraphrase,0.4,0.4,0.4,0.4,0.4,0.6
BioMistral-7B,48,B,B,True,B,True,0.6,typo,0.6,0.4,0.6,0.4,0.42,0.4
BioMistral-7B,48,B,B,True,B,True,0.6,synonym,1.0,0.6,1.0,0.6,0.51,0.0
BioMistral-7B,48,B,B,True,B,True,0.6,shuffle,0.0,0.0,0.0,0.0,0.5599999999999999,1.0
BioMistral-7B,48,B,B,True,B,True,0.6,truncate,1.0,1.0,1.0,1.0,0.6799999999999999,0.0
BioMistral-7B,48,B,B,True,B,True,0.6,paraphrase,1.0,1.0,1.0,1.0,0.4800000000000001,0.0
BioMistral-7B,49,D,E,False,E,False,0.55,typo,0.8,0.8,0.2,0.2,0.7,0.1999999999999999
BioMistral-7B,49,D,E,False,E,False,0.55,synonym,1.0,1.0,0.0,0.0,0.71,0.0
BioMistral-7B,49,D,E,False,E,False,0.55,shuffle,1.0,1.0,0.0,0.0,0.58,0.0
BioMistral-7B,49,D,E,False,E,False,0.55,truncate,1.0,1.0,0.0,0.0,0.5252000000000001,0.0
BioMistral-7B,49,D,E,False,E,False,0.55,paraphrase,1.0,1.0,0.0,0.0,0.67,0.0
